,Subject,Provider,Image,Courses
10,cosmology and astronomy,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/earth_history.jpg-a98879-128c.jpeg,"Scale of the universe;Stars, black holes and galaxies;Earth geological and climatic history;Life on earth and in the universe"
11,electrical engineering,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,Introduction to electrical engineering;Circuit analysis;Amplifiers;Semiconductor devices;Electrostatics;Signals and systems;Home-made robots;Lego robotics;Reverse engineering
12,macroeconomics,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/aggregate_demand_supply.png-d218ed-128c.png,GDP: Measuring national income;Inflation - measuring the cost of living;Aggregate demand and aggregate supply;The monetary system;Income and expenditure: Keynesian cross and IS-LM model;Foreign exchange and trade
13,microeconomics,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/consumer_producer_surplus.png-e0a6bf-128c.png,"Supply, demand, and market equilibrium;Elasticity;Consumer and producer surplus;Scarcity, possibilities, preferences and opportunity cost;Production decisions and economic profit;Forms of competition;Game theory and Nash equilibrium"
14,core finance,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/accounting.png-2cfd73-128c.png,"Interest and debt;Housing;Inflation;Taxes;Accounting and financial statements;Stocks and bonds;Investment vehicles, insurance, and retirement;Money, banking and central banks;Options, swaps, futures, MBSs, CDOs, and other derivatives;Current economics"
15,us history,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/american_civics.jpg-ca5a0f-128c.jpeg,The historian's toolkit;Worlds collide (1491-1607);Colonial America (1607-1754);The road to revolution (1754-1800);The early republic (1800-1848);The Civil War era (1844-1877);The Gilded Age (1865-1898);Rise to world power (1890-1945);The postwar era (1945-1980);The modern era (1980-present);American civics;Surveys of history
16,world history,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/ancient_medieval.jpg-aae6c3-128c.jpeg,Beginnings - 600 BCE;600 BCE - 600 CE Second-Wave Civilizations;600 - 1450 Regional and interregional interactions ;1450 - 1750 Renaissance and Reformation;1750 -1900 Enlightenment and Revolution;The 20th century 
17,art history,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/ancient_art_civilizations.jpg-3a6d36-128c.jpeg,Special topics in art history;Art history basics;Prehistoric art in Europe and West Asia;Ancient Mediterranean;Medieval Europe + Byzantine;Art of the Islamic world;Europe 1300-1800;Baroque to Neoclassical art in Europe;Art of the Americas to World War I;Art in 19th century Europe;Modernisms 1900-1980;Global contemporary art;Art of Asia;Art of Africa;Art of Oceania;For teachers
18,grammar,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,"Introduction to grammar;Parts of speech: the noun;Parts of speech: the verb;Parts of speech: the pronoun;Parts of speech: the modifier;Parts of speech: the preposition and the conjunction;Punctuation: the comma and the apostrophe;Punctuation: the colon, semicolon, and more;Syntax: sentences and clauses;Syntax: conventions of standard English;Usage and Style"
19,music,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/instruments_of_the_orchestra.jpg-444171-128c.jpeg,Music basics;Masterpieces old and new;Instruments of the orchestra
20,computer programming,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/markup.png-8a1e75-128c.png,Intro to JS: Drawing & Animation;Intro to HTML/CSS: Making webpages;Intro to SQL: Querying and managing data;Advanced JS: Games & Visualizations;Advanced JS: Natural Simulations;HTML/JS: Making webpages interactive;HTML/JS: Making webpages interactive with jQuery;Meet the professional
21,computer science,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/information_theory.png-60d575-128c.png,Algorithms;Journey into cryptography;Journey into information theory;How Computers Work;Internet 101
